{'gain': 0.7408750772476197, 'ugbw': 0.6957397699356079, 'pm': 0.5511226415634155, 'tset': 0.7620610237121582, 'psrr': 0.5761658072471618, 'cmrr': 0.342774897813797, 'offset_sys': 0.7432354688644409, 'ibias': 0.4968911945819855, 'total_acc': 0.9294761082325849, 'a1': 0.1774193548387097, 'a2': 0.13333333333333333, 'a3': 0.9573134328358209, 'a4': 0.9691749773345422, 'tt': 22, 'ff': 3207, 'tf': 102, 'ft': 143}
{'gain': 0.7425446152687073, 'ugbw': 0.6971790432929992, 'pm': 0.554634439945221, 'tset': 0.762809443473816, 'psrr': 0.5558434009552002, 'cmrr': 0.3388601005077362, 'offset_sys': 0.742314338684082, 'ibias': 0.48077144026756286, 'total_acc': 0.9297639608520437, 'a1': 0.22580645161290322, 'a2': 0.1590909090909091, 'a3': 0.955820895522388, 'a4': 0.9708914493632504, 'tt': 28, 'ff': 3202, 'tf': 96, 'ft': 148}
{'gain': 0.7328151941299439, 'ugbw': 0.6923431158065796, 'pm': 0.5547495603561402, 'tset': 0.7562464118003844, 'psrr': 0.5515256285667419, 'cmrr': 0.3570523858070373, 'offset_sys': 0.7388600945472716, 'ibias': 0.4936672449111938, 'total_acc': 0.9280368451352907, 'a1': 0.1935483870967742, 'a2': 0.13793103448275862, 'a3': 0.9552238805970149, 'a4': 0.9696969696969697, 'tt': 24, 'ff': 3200, 'tf': 100, 'ft': 150}
{'gain': 0.7150259017944336, 'ugbw': 0.692803680896759, 'pm': 0.5565918326377868, 'tset': 0.7576281070709228, 'psrr': 0.5445595860481263, 'cmrr': 0.3560161173343659, 'offset_sys': 0.7382844090461731, 'ibias': 0.4902705788612366, 'total_acc': 0.9294761082325849, 'a1': 0.1774193548387097, 'a2': 0.13333333333333333, 'a3': 0.9573134328358209, 'a4': 0.9691749773345422, 'tt': 22, 'ff': 3207, 'tf': 102, 'ft': 143}
{'gain': 0.7221070885658264, 'ugbw': 0.695970070362091, 'pm': 0.5702360391616822, 'tset': 0.7489349365234375, 'psrr': 0.545480716228485, 'cmrr': 0.3572251081466675, 'offset_sys': 0.7282671332359314, 'ibias': 0.48370754122734066, 'total_acc': 0.9297639608520437, 'a1': 0.25, 'a2': 0.17032967032967034, 'a3': 0.9549253731343283, 'a4': 0.9717496962332929, 'tt': 31, 'ff': 3199, 'tf': 93, 'ft': 151}
{'gain': 0.7191709995269775, 'ugbw': 0.6932066679000854, 'pm': 0.55975821018219, 'tset': 0.7431203246116638, 'psrr': 0.5430051803588868, 'cmrr': 0.372654002904892, 'offset_sys': 0.7293033957481385, 'ibias': 0.47898675799369816, 'total_acc': 0.9162348877374784, 'a1': 0.25, 'a2': 0.13537117903930132, 'a3': 0.9408955223880597, 'a4': 0.9713405238828967, 'tt': 31, 'ff': 3152, 'tf': 93, 'ft': 198}
{'gain': 0.7221646428108215, 'ugbw': 0.6868163466453552, 'pm': 0.5553252696990967, 'tset': 0.7430051803588866, 'psrr': 0.5431203126907349, 'cmrr': 0.3603914856910706, 'offset_sys': 0.7306275248527527, 'ibias': 0.45774323344230655, 'total_acc': 0.9162348877374784, 'a1': 0.2903225806451613, 'a2': 0.1506276150627615, 'a3': 0.9394029850746268, 'a4': 0.9727975270479134, 'tt': 36, 'ff': 3147, 'tf': 88, 'ft': 203}
{'gain': 0.7131836414337158, 'ugbw': 0.6844559550285338, 'pm': 0.5614277482032776, 'tset': 0.7397236585617065, 'psrr': 0.5426597595214844, 'cmrr': 0.34853194355964656, 'offset_sys': 0.7282671332359315, 'ibias': 0.47109960317611693, 'total_acc': 0.915083477259643, 'a1': 0.28225806451612906, 'a2': 0.14522821576763487, 'a3': 0.9385074626865672, 'a4': 0.9724713888029693, 'tt': 35, 'ff': 3144, 'tf': 89, 'ft': 206}
{'gain': 0.7145653486251832, 'ugbw': 0.6785837531089782, 'pm': 0.55975821018219, 'tset': 0.7265975952148438, 'psrr': 0.5422567486763, 'cmrr': 0.34726539850234983, 'offset_sys': 0.7265400171279908, 'ibias': 0.4676453649997711, 'total_acc': 0.9075993091537133, 'a1': 0.27419354838709675, 'a2': 0.12830188679245283, 'a3': 0.931044776119403, 'a4': 0.9719538797133064, 'tt': 34, 'ff': 3119, 'tf': 90, 'ft': 231}
{'gain': 0.7039147973060609, 'ugbw': 0.6770869255065919, 'pm': 0.5716753005981445, 'tset': 0.7253310322761536, 'psrr': 0.5439263105392457, 'cmrr': 0.364421421289444, 'offset_sys': 0.728785252571106, 'ibias': 0.4548647105693817, 'total_acc': 0.9084628670120898, 'a1': 0.2903225806451613, 'a2': 0.13533834586466165, 'a3': 0.9313432835820895, 'a4': 0.972568578553616, 'tt': 36, 'ff': 3120, 'tf': 88, 'ft': 230}
{'gain': 0.7047207713127136, 'ugbw': 0.6686240553855896, 'pm': 0.5601612091064453, 'tset': 0.7255613088607787, 'psrr': 0.543350613117218, 'cmrr': 0.3519286155700684, 'offset_sys': 0.7251583218574523, 'ibias': 0.476799076795578, 'total_acc': 0.9090385722510075, 'a1': 0.31451612903225806, 'a2': 0.14444444444444443, 'a3': 0.931044776119403, 'a4': 0.9734706616729089, 'tt': 39, 'ff': 3119, 'tf': 85, 'ft': 231}
